"","coach","obvious_go_pct","avg_croot_points","one_score_game_win_pct","early_down_pass_rate","DVOE","cluster"
"120","Mark Whipple",0.609756097560976,116.308,0.45,0.446901367471632,-3.2,"1"
"121","Matt Campbell",0.5,167.564285714286,0.826086956521739,0.370386740331492,-136.9,"2"
"122","Matt Canada",0.111111111111111,218.34,0.666666666666667,0.221690590111643,48.5,"2"
"123","Matt Rhule",0.527272727272727,179.821666666667,0.7,0.399857786205262,-224.8,"2"
"124","Matt Viator",0.448275862068966,117.862,0.555555555555556,0.379471748579071,-32.8,"1"
"125","Matt Wells",0.352112676056338,138.978333333333,0.363636363636364,0.406628571428571,-31.7,"1"
"126","Mel Tucker",0.555555555555556,193.935,0.6,0.378698224852071,-179.2,"1"
"127","Mike Bloomgren",0.424242424242424,133.383333333333,0.333333333333333,0.347107438016529,-42.3,"1"
"128","Mike Bobo",0.351351351351351,143.664,0.5,0.365105908584169,0.9,"1"
"129","Mike Gundy",0.37037037037037,198.821428571429,0.866666666666667,0.404267931238886,15.5,"2"
"130","Mike Houston",0.5,160.73,0.4,0.372289156626506,-27.2,"1"
"131","Mike Jinks",0.416666666666667,131.25,0.666666666666667,0.416028285209193,-45.7,"1"
"132","Mike Leach",0.657894736842105,187.205714285714,0.722222222222222,0.629242304656669,65.5,"1"
"133","Mike London",0.269230769230769,192.63,0.692307692307692,0.374685666387259,-121.9,"2"
"134","Mike MacIntyre",0.435483870967742,172.25,0.705882352941177,0.408231368186874,-19.6,"2"
"135","Mike Neu",0.5,121.934,0.272727272727273,0.365524781341108,-63,"1"
"136","Mike Norvell",0.491228070175439,182.334,0.761904761904762,0.374141534786503,-322.3,"2"
"137","Mike Riley",0.456521739130435,204.9425,0.7,0.385388739946381,-38.9,"2"
"138","Mike Sanford",0.5,138.03,0.5,0.493519441674975,125.1,"1"
"139","Neal Brown",0.490566037735849,147.91,0.846153846153846,0.420088626292467,-59.7,"2"
"140","Nick Rolovich",0.528301886792453,138.62,0.666666666666667,0.475613643608543,-54,"1"
"141","Nick Saban",0.457142857142857,310.657142857143,0.875,0.364829396325459,1474.2,"4"
"142","Norm Chow",0.461538461538462,103.25,0.5,0.418905472636816,-42.2,"1"
"143","P.J. Fleck",0.540540540540541,176.261428571429,1,0.325664136622391,-63.9,"3"
"144","Pat Fitzgerald",0.422680412371134,181.928571428571,0.7,0.400413983440662,-122.2,"2"
"145","Pat Narduzzi",0.463414634146341,193.65,0.727272727272727,0.348559563976122,-119.5,"2"
"146","Paul Chryst",0.290322580645161,202.045714285714,0.80952380952381,0.28099173553719,253.3,"2"
"147","Paul Haynes",0.425531914893617,96.0575,0.666666666666667,0.341759844433641,-45,"1"
"148","Paul Johnson",0.736842105263158,181.926,0.473684210526316,0.14123006833713,-114.2,"3"
"149","Paul Petrino",0.4375,90.295,0.571428571428571,0.410471622701839,-34.9,"1"
"150","Paul Rhoads",0.352941176470588,169.075,0.4,0.405150214592275,-36.1,"1"
"151","Philip Montgomery",0.5,131.508333333333,0.571428571428571,0.335907335907336,37,"1"
"152","Randy Edsall",0.34375,149.696,0.8,0.391061452513966,-138.2,"2"
"153","Rich Rodriguez",0.40625,191.54,0.666666666666667,0.34896872920825,-141.1,"2"
"154","Rick Stockstill",0.393939393939394,135.071428571429,0.904761904761905,0.415953757225434,-35.4,"2"
"155","Rocky Long",0.39344262295082,151.708333333333,0.740740740740741,0.262449846589568,35.7,"3"
"156","Rod Carey",0.358695652173913,129.45,0.96969696969697,0.34375,81.3,"2"
"157","Ron Turner",0.466666666666667,113.626666666667,0.666666666666667,0.387240356083086,-62.3,"1"
"158","Ryan Day",0.25,291.106666666667,1,0.362878787878788,488.2,"4"
"159","Ryan Silverfield",0.666666666666667,165.67,0.5,0.409340659340659,-53.4,"1"
"160","Scott Frost",0.567567567567568,210.776,0.666666666666667,0.368151935719503,-298.5,"2"
"161","Scott Satterfield",0.553191489361702,137.028333333333,0.8,0.293111871030777,-16,"3"
"162","Scott Shafer",0.25,174.465,1,0.361946902654867,-64.3,"2"
"163","Sean Kugler",0.375,86.865,0.625,0.31321128154379,-44.6,"1"
"164","Sean Lewis",0.35,135.786666666667,0.375,0.381980640357409,-30.2,"1"
"165","Seth Littrell",0.583333333333333,136.8,0.764705882352941,0.43331246086412,-36.1,"1"
"166","Shawn Elliott",0.407407407407407,154.212,0.923076923076923,0.327744510978044,-84.7,"2"
"167","Skip Holtz",0.388888888888889,141.691428571429,0.739130434782609,0.427138894815447,141.8,"1"
"168","Sonny Dykes",0.552941176470588,176.165,0.961538461538462,0.445032198712052,-28.9,"2"
"169","Steve Addazio",0.415384615384615,164.057142857143,0.636363636363636,0.249159989661411,186.4,"3"
"170","Steve Sarkisian",0.416666666666667,264.86,0.75,0.409547738693467,-226.3,"2"
"171","Steve Spurrier",0.733333333333333,239.33,0.555555555555556,0.411646586345382,81.9,"1"
"172","Terry Bowden",0.351351351351351,91.944,0.8,0.424403183023873,-42.1,"1"
"173","Thomas Hammock",0.421052631578947,141.925,0.5,0.385171790235081,25,"1"
"174","Tim Beckman",0.333333333333333,153.35,1,0.439828080229226,-39.3,"2"
"175","Tim DeRuyter",0.435897435897436,138.886666666667,0.666666666666667,0.410744264129827,28.6,"1"
"176","Tim Lester",0.583333333333333,148.86,0.692307692307692,0.33258020786263,216.5,"3"
"177","Todd Berry",0.6,100.575,0.571428571428571,0.462271644162033,-20.6,"1"
"178","Todd Graham",0.287671232876712,200.914,0.714285714285714,0.382092489340767,-131.2,"2"
"179","Todd Monken",0.5,129.57,0.571428571428571,0.447586206896552,-61.5,"1"
"180","Tom Allen",0.352941176470588,182.202,0.642857142857143,0.42944286295242,-136.3,"2"
"181","Tom Herman",0.488095238095238,241.604,0.666666666666667,0.396949798771447,-558.1,"2"
"182","Tommy Tuberville",0.304347826086957,158.873333333333,1,0.431111111111111,-82.5,"2"
